Campaign report
"October 1, 2016 - September 16, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign type,Bid strategy type,Conv. value,Cost,Conversions,Conv. rate,Cost / conv.,Impr.,Clicks,CTR,Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable)
Paused,pmaxcomprasa360rjmg_gg_pm_bg_lc_ao_wb_re_vr_pf,1500.00, --,Daily,BRL,Paused,campaign paused, --,Performance Max,Target CPA,"39,845,641,342.15",57372.12,"87,765.88",18.35%,0.65,"2,106,212","433,784",20.60%,0.00,0.00
Enabled,Teste Ordenação 10% 2018-06-04,20000.00, --,Daily,BRL,Ended,campaign ended; some ads disapproved, --,Search,CPC (enhanced),"2,945.00",1334.68,"2,945.00",12.65%,0.45,"123,835","23,272",18.79%,0.00,0.00
Paused,pmaxaluguelsa360sp_gg_pm_bg_la_ao_wb_re_vr_pf #4,1.00, --,Daily,BRL,Paused,campaign paused; No asset groups, --,Performance Max,Target CPA,0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,Imob_BA,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,pmaxaluguelsa360br2_gg_pm_bg_la_ao_wb_re_vr_pf,5500.00, --,Daily,BRL,Paused,campaign paused, --,Performance Max,Target CPA,"886,605,930.16",293601.47,"461,528.08",34.03%,0.64,"5,203,107","1,306,089",25.10%,0.00,0.00
Paused,Teste_Migração_Campinas,650.00, --,Daily,BRL,Paused,campaign paused, --,Search,CPC (enhanced),"247,891.00",280022.85,"247,891.00",11.30%,1.13,"9,797,471","2,194,560",22.40%,0.00,0.00
Paused,SEM - Compra_RJ,650.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"14,132.90",34927.98,"14,132.90",19.08%,2.47,"1,108,274","74,073",6.68%,0.00,0.00
Paused,Imob_MG,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,DSA_Compra,8000.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"7,227,571.41",9661130.99,"7,227,571.41",11.20%,1.34,"395,799,977","64,533,575",16.30%,0.00,0.00
Paused,SEM - Compra_SP,650.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"23,999.57",46297.92,"23,999.57",21.20%,1.93,"1,667,392","113,204",6.79%,0.00,0.00
Enabled,dsaaluguelbr_gg_se_bg_la_ao_wb_re_vr_pf,1500.00, --,Daily,BRL,Eligible (Limited),app deep links have issues,88.14,Search,Target CPA,"280,363,000,065.14",6837183.62,"7,599,300.42",23.48%,0.90,"121,933,222","32,359,490",26.54%,0.00,0.00
Paused,Imob_RJ,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Enabled,Exp_DSA_RJ,20000.00, --,Daily,BRL,Ended,campaign ended, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,pmaxaluguelsa360g3_gg_pm_bg_la_ao_wb_re_vr_pf,300.00, --,Daily,BRL,Paused,campaign paused, --,Performance Max,Target CPA,"31,192,767.97",19567.56,"22,410.39",23.14%,0.87,"438,642","93,120",21.23%,0.00,0.00
Paused,C_SP_Campinas,500.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"272,515.00",365713.76,"272,515.00",17.33%,1.34,"8,494,202","1,572,539",18.51%,0.00,0.00
Paused,Imob_RO,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,Imob_DF,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,Imob_RR,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,dsaaluguelsa360g3_gg_pc_bg_la_ao_wb_re_vr_pf,400.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"27,359,705.71",16897.25,"19,151.57",28.46%,0.88,"270,281","67,303",24.90%,0.00,0.00
Paused,dsacomprasa360scpr_gg_pc_bg_lc_ao_wb_re_vr_pf,250.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"9,089,803,412.76",23732.63,"25,583.72",19.25%,0.93,"722,896","132,904",18.38%,0.00,0.00
Paused,Imob_PE,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,dsaaluguel24br_gg_se_bg_la_ao_wb_re_vr_pf,500.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"74,331,460.66",20606.72,"2,787.82",6.77%,7.39,"152,883","41,205",26.95%,0.00,0.00
Enabled,VivaReal_Google_Conversao_DSA_Compra_TesteSA,1300.00, --,Daily,BRL,Ended,campaign ended, --,Search,Target CPA,0.00,448.02,72.31,1.91%,6.20,"19,064","3,786",19.86%,0.00,0.00
Paused,Imob_AL,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,DSA_Geral_Corona_G1,4000.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"25,888.00",48899.96,"25,888.00",11.41%,1.89,"1,342,710","226,879",16.90%,0.00,0.00
Paused,Imob_RN,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Enabled,Teste Ordenação 50% 2018-06-13,20000.00, --,Daily,BRL,Ended,campaign ended; some ads disapproved, --,Search,CPC (enhanced),"176,800.00",109076.50,"176,800.00",11.64%,0.62,"7,631,177","1,519,408",19.91%,0.00,0.00
Paused,Imob_RS,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,dsageralbr_gg_se_bg_ld_ao_wb_re_vr_pf,1.00, --,Daily,BRL,Paused,campaign paused; No keywords; No ads, --,Search,Maximize Conversions,0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,Imob_MT,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,DSA_Aluguel,14000.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"5,092,969.35",7209725.66,"5,092,969.35",14.78%,1.42,"206,948,114","34,453,982",16.65%,0.00,0.00
Paused,Imob_SP,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,dsaaluguelbr2_gg_se_bg_la_ao_wb_re_vr_pf,2000.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"482,346,266.78",167576.33,"227,605.13",34.86%,0.74,"3,144,452","652,942",20.76%,0.00,0.00
Paused,dsaaluguelsa360sp_gg_pc_bg_la_ao_wb_re_vr_pf,3100.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"528,468,253.19",172879.90,"267,217.29",39.53%,0.65,"2,423,243","675,931",27.89%,0.00,0.00
Enabled,VivaReal_Google_Conversao_DSA_Aluguel_SA360_Teste,1500.00, --,Daily,BRL,Ended,campaign ended, --,Search,Target CPA,0.00,955.12,"1,090.00",19.53%,0.88,"21,866","5,580",25.52%,0.00,0.00
Paused,pmaxaluguelsa360sp_gg_pc_bg_la_ao_wb_re_vr_pf,3650.00, --,Daily,BRL,Paused,campaign paused, --,Performance Max,Target CPA,"11,223,065,410.30",330353.63,"475,475.10",31.48%,0.69,"5,891,344","1,472,694",25.00%,0.00,0.00
Paused,SEM_B2B,350.00, --,Daily,BRL,Paused,campaign paused, --,Search,CPC (enhanced),817.00,12005.12,817.00,6.37%,14.69,"129,525","12,829",9.90%,0.00,0.00
Paused,dsaaluguelsa360scpr_gg_pc_bg_la_ao_wb_re_vr_pf,1000.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"78,992,417.00",37524.83,"50,710.68",32.02%,0.74,"676,637","158,383",23.41%,0.00,0.00
Total: Campaigns, --, --, --, --,BRL, --,, --, --, --,"5,191,706,141,446.37",63330730.82,"153,822,853.72",35.98%,0.41,"2,143,689,057","407,094,361",18.99%,0.00,0.00
Total: Account,,,,,BRL,,,,,,"5,191,706,141,446.38",63330730.82,"153,822,853.72",35.98%,0.41,"2,143,689,057","407,094,361",18.99%,0.00,0.00
Total: Performance Max,,,,,BRL,,,,Performance Max,,"3,877,195,009,146.33",19798028.41,"113,477,262.82",80.65%,0.17,"588,099,245","120,263,704",20.45%,0.00,0.00
Total: Search,,,,,BRL,,,,Search,,"1,314,511,131,600.04",43506661.69,"40,344,890.90",14.07%,1.08,"1,554,836,736","286,781,986",18.44%,0.00,0.00
Total: Display,,,,,BRL,,,,Display,,71.00,2105.94,71.00,0.42%,29.66,"93,592","16,825",17.98%,0.00,0.00
Total: Demand Gen,,,,,BRL,,,,Demand Gen,,629.00,23934.78,629.00,1.85%,38.05,"659,484","31,846",4.83%,0.00,0.00
