Ad group report
"October 1, 2016 - September 16, 2026"
Ad group status,Ad group,Campaign,Currency code,Default max. CPC,Target CPA,Status,Status reasons,Ad group type,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand Inclusions,Locations of interest,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Conv. rate,Conversions,Cost / conv.
Enabled,C_RJ_Teresopolis,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,14.44,"21,234","4,907",23.11%,0.06,306.61,[],[],0.00,0,0.00,11.66%,572.00,0.54
Enabled,C_SP_Brejo Alegre,Teste Ordenação 10% 2018-06-04,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,B2B_Postar_Imóveis,SEM_B2B,BRL,0.50 (enhanced), --,Not eligible,campaign paused,Standard,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Paused,C_SP_Nhandeara,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,21.56,77,21,27.27%,0.08,1.66,[],[],0.00,0,0.00,0.00%,0.00,0.00
Paused,C_SP_Taiacu,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,6.81,182,19,10.44%,0.07,1.24,[],[],0.00,0,0.00,5.26%,1.00,1.24
Paused,C_SC_Joinville,DSA_VivaReal_ Geral,BRL, --,0.55,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,19.17,"2,932,898","544,588",18.57%,0.10,56213.68,[],[],0.00,0,0.00,13.38%,"72,866.00",0.77
Enabled,C_SP_Divinolandia,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,17.27,11,7,63.64%,0.03,0.19,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_SP_Saltinho,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,11.33,391,90,23.02%,0.05,4.43,[],[],0.00,0,0.00,12.22%,11.00,0.40
Enabled,C_SP_Tapirai,Teste Ordenação 50% 2018-06-13,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,22.87,223,60,26.91%,0.09,5.10,[],[],0.00,0,0.00,3.33%,2.00,2.55
Enabled,C_SP_Corumbatai,Teste Ordenação 10% 2018-06-04,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0.00,1,0,0.00%,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Piracicaba,Teste Ordenação 10% 2018-06-04,BRL,0.08 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,5.03,167,21,12.57%,0.04,0.84,[],[],0.00,0,0.00,14.29%,3.00,0.28
Paused,C_SP_Ribeirao do Sul,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,2.94,34,1,2.94%,0.10,0.10,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_SP_Porto Ferreira,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,6.22,222,42,18.92%,0.03,1.38,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_SP_Itirapina,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,3.54,99,12,12.12%,0.03,0.35,[],[],0.00,0,0.00,16.67%,2.00,0.18
Enabled,C_SP_Cristais Paulista,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,13.64,22,6,27.27%,0.05,0.30,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_RJ_Comendador Levy Gasparian,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_RJ_Campos dos Goytacazes,Cat_to_URL,BRL,0.08 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Itarare,Teste Ordenação 10% 2018-06-04,BRL,0.03 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Dumont,Teste Ordenação 10% 2018-06-04,BRL,0.16 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0.00,4,0,0.00%,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,Pernambuco,Exp_DSA_RJ,BRL,0.11 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Paused,C_SP_Santa Branca,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,13.25,"15,498","3,022",19.50%,0.07,205.35,[],[],0.00,0,0.00,6.95%,210.00,0.98
