,,,,,,,,,,,,,,,,,,,,,,,,,
,"Negócio / Segmento
Produto",Jan./25,Feb./25,Mar./25,Apr./25,May./25,Jun./25,Jul./25,Aug./25,Sep./25,Oct./25,Nov./25,Dec./25,Jan./26,Feb./26,Mar./26,Apr./26,May./26,Jun./26,Jul./26,Aug./26,Sep./26,Oct./26,Nov./26,Dec./26
,Classifieds - Goods Privates,  3.693.659 ,  3.339.911 ,  3.512.489 ,  3.297.397 ,  3.495.975 ,  3.301.306 ,  3.558.441 ,  3.516.669 ,  3.305.898 ,  3.868.126 ,  3.832.545 ,  3.433.509 ,  3.927.729 ,  3.446.111 ,  3.887.468 ,  3.564.784 ,  3.645.097 ,  3.483.404 ,  3.598.449 ,  -   ,  -   ,  -   ,  -   ,  -   
,Classifieds - Jobs & Services, -, -, -, -, -, -, -, -, -, -, -, -,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Transactional & Fintech,  8.446.668 ,  7.854.790 ,  8.526.615 ,  8.522.593 ,  8.851.224 ,  8.658.910 ,  9.352.721 ,  9.476.500 ,  9.317.403 ,  9.753.248 ,  9.361.081 ,  9.073.512 ,  10.557.543 ,  10.561.869 ,  12.535.730 ,  12.616.048 ,  14.190.761 ,  13.388.767 ,  14.559.055 ,  -   ,  -   ,  -   ,  -   ,  -   
,VAS Pay, -, -, -, -, -, -, -, -, -,  107.640 ,  45.170 ,  56.410 ,  50.640 ,  51.920 ,  60.460 ,  56.850 ,  54.060 ,  57.354 ,  60.606 ,  -   ,  -   ,  -   ,  -   ,  -   
,Intermediação,  4.928.563 ,  4.500.338 ,  4.864.382 ,  4.787.379 ,  5.191.573 ,  5.131.007 ,  5.395.639 ,  5.532.728 ,  5.510.851 ,  5.730.470 ,  5.675.690 ,  5.597.116 ,  6.543.636 ,  6.678.744 ,  8.293.718 ,  8.502.892 ,  9.785.342 ,  9.399.842 ,  10.359.656 ,  -   ,  -   ,  -   ,  -   ,  -   
,Taxa de Entrega,  2.526.645 ,  2.274.448 ,  2.379.830 ,  2.549.640 ,  2.448.851 ,  2.337.189 ,  2.666.209 ,  2.698.967 ,  2.611.518 ,  2.621.989 ,  2.487.863 ,  2.362.127 ,  2.735.118 ,  2.611.968 ,  2.872.349 ,  2.899.207 ,  3.159.223 ,  2.884.279 ,  3.047.146 ,  -   ,  -   ,  -   ,  -   ,  -   
,Parcelamento,  844.931 ,  1.045.061 ,  1.143.778 ,  1.048.302 ,  1.074.376 ,  1.056.600 ,  1.151.847 ,  1.125.962 ,  1.072.813 ,  1.161.989 ,  1.021.765 ,  944.570 ,  1.101.977 ,  1.099.146 ,  1.189.422 ,  1.047.200 ,  1.081.250 ,  924.498 ,  918.955 ,  -   ,  -   ,  -   ,  -   ,  -   
,Inatividade,  86.360 ,  7.476 ,  89.941 ,  85.279 ,  83.431 ,  79.851 ,  78.950 ,  79.032 ,  83.853 ,  81.145 ,  80.504 ,  77.981 ,  75.597 ,  73.905 ,  71.309 ,  69.214 ,  70.955 ,  72.577 ,  72.544 ,  -   ,  -   ,  -   ,  -   ,  -   
,VAS,  60.168 ,  27.466 ,  48.684 ,  51.994 ,  52.993 ,  54.263 ,  60.076 ,  39.811 ,  38.369 ,  50.015 ,  50.089 ,  35.308 ,  50.576 ,  46.186 ,  48.472 ,  40.685 ,  39.931 ,  50.216 ,  100.149 ,  -   ,  -   ,  -   ,  -   ,  -   
,Advertising,  1.608.760 ,  1.512.372 ,  1.974.319 ,  2.155.069 ,  2.035.619 ,  1.918.393 ,  1.778.518 ,  2.115.632 ,  1.793.051 ,  1.965.593 ,  2.619.691 ,  2.080.064 ,  1.729.843 ,  1.533.860 ,  1.941.720 ,  1.746.047 ,  1.816.789 ,  1.959.045 ,  1.808.650 ,  -   ,  -   ,  -   ,  -   ,  -   
,Indirect,  1.527.044 ,  1.429.225 ,  1.873.190 ,  1.964.917 ,  1.945.501 ,  1.812.547 ,  1.686.740 ,  1.812.929 ,  1.647.843 ,  1.880.557 ,  2.550.654 ,  1.935.091 ,  1.607.788 ,  1.463.804 ,  1.808.169 ,  1.628.831 ,  1.616.124 ,  1.783.465 ,  1.613.857 ,  -   ,  -   ,  -   ,  -   ,  -   
,Direct,  81.717 ,  83.147 ,  101.130 ,  190.151 ,  90.118 ,  105.846 ,  91.778 ,  302.703 ,  145.207 ,  85.036 ,  69.037 ,  144.973 ,  122.056 ,  70.056 ,  133.551 ,  117.215 ,  200.665 ,  175.579 ,  194.793 ,  -   ,  -   ,  -   ,  -   ,  -   
,,,,,,,,,,,,,,,,,,,,,,,,,
, Conecta,  318 ,  40 ,  20 , -, -, -, -, -,  6.865.055 , -, -, -,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Conecta,  318 ,  40 ,  20 , -, -, -, -, -,  6.865.055 , -, -, -,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
