Campaign report
"September 24, 2021 - September 16, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign subtype,Campaign type,Bid strategy type,Conv. value,TrueView views,Impr.,Avg. CPM,Conversions,Conv. rate,Cost / conv.,Clicks,CTR,Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Unique users,TrueView avg. CPV,Cost,Likes,Comments,Shares
Paused,pmaxonplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf #5,67.07, --,Daily,BRL,Paused,campaign paused; No asset groups, --,Standard,Performance Max,Maximize Conversions,0.00,0,0,0,0.00,0.00%,0.00,0, --,0.00,0,,0,0.00,0,0,0
Paused,[MATH] [VIDEO VIEW] [YOUTUBE] [B2C] [2],3000.00, --,Daily,BRL,Paused,campaign paused; campaign ended, --,Video views,Video,Maximum CPV,0.00,"1,557,052","3,025,313",12.23,21.00,0.00%,1761.75,"4,409",0.15%,0.00,0.00,,0.02,36996.73,0,0,0
Paused,dgenoff26br_gg_pc_po_pp_ao_wb_re_go_pf,58.37, --,Daily,BRL,Paused,campaign paused, --,Standard,Demand Gen,Target CPA,"1,095.09","345,583","1,574,915",53.00,"1,095.09",0.26%,76.23,"65,133",4.14%,"1,095.09",0.01,,0.02,83473.71,53,0,2
Paused,ph3adponbr_gg_pc_po_pp_ao_wb_re_go_pf,2.83, --,Daily,BRL,Paused,campaign paused, --,Standard,Display,Maximize Conversions,0.00,0,0,0,0.00,0.00%,0.00,0, --,0.00,0,,0,0.00,0,0,0
Paused,pmaxonbr_gg_pm_po_pp_ao_wb_re_go_pf,3.24, --,Daily,BRL,Paused,campaign paused, --,Standard,Performance Max,Maximize Conversions,50.74,"5,711","123,604",20.04,50.74,0.44%,48.81,"2,961",2.40%,0.00,0.00,,0.06,2476.76,0,0,0
Paused,[MATH] [VIDEO VIEW] [YOUTUBE] [B2B],7.57, --,Daily,BRL,Paused,campaign paused; most ads disapproved, --,Video views,Video,Maximum CPV,0.00,"480,228","1,722,667",19.95,59.00,0.01%,582.39,"7,490",0.43%,0.00,0.00,,0.07,34361.29,0,0,0
Total: Campaigns, --, --, --, --,BRL, --,, --,Standard, --, --,"16,505,444,433.41","7,357,697","58,655,866",41.86,"114,276.89",0.95%,21.48,"1,836,822",3.13%,"4,737.09","2,569.90",,0.04,2455122.47,53,0,2
Total: Account,,,,,BRL,,,,,,,"16,505,444,895.95","7,569,825","59,678,005",41.49,"114,739.44",0.92%,21.58,"1,849,638",3.10%,"4,737.09","2,548.12",,0.04,2476102.84,53,0,2
Total: Search,,,,,BRL,,,,,Search,,"5,716,926.29",0,"5,563,576",170.81,"22,759.00",6.12%,41.76,"372,017",6.69%,0.00,0.00,,0,950310.30,0,0,0
Total: Performance Max,,,,,BRL,,,,,Performance Max,,"16,497,363,202.65","4,434,332","28,652,952",39.65,"70,121.81",1.08%,16.20,"1,035,951",3.62%,0.00,0.00,,0.04,1135999.76,0,0,0
Total: Video,,,,,BRL,,,,,Video,,462.54,"2,782,985","7,921,523",15.21,602.54,0.01%,200.03,"31,770",0.40%,0.00,0.00,,0.04,120525.71,0,0,0
Total: Demand Gen,,,,,BRL,,,,,Demand Gen,,"2,356,435.28","352,508","10,940,141",16.66,"10,335.90",1.43%,17.64,"279,713",2.56%,"4,737.09","34,610.67",,0.02,182296.64,53,0,2
Total: Display,,,,,BRL,,,,,Display,,"7,869.18",0,"6,599,813",13.18,"10,920.18",8.39%,7.96,"130,187",1.97%,0.00,0.00,,0,86970.44,0,0,0
