Search keyword report
"May 16, 2025 - September 16, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,aluguel casa,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"29,689","6,307",21.24%,BRL,0.29,1805.58,"6,307",7.87%,496.21,0.29,3.64
Enabled,casa para alugar belo horizonte,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"2,086",396,18.98%,BRL,0.36,143.39,396,8.46%,33.50,0.36,4.28
Enabled,casas para alugar perto de mim,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"14,142","2,485",17.57%,BRL,0.41,1029.72,"2,485",14.39%,357.68,0.41,2.88
Enabled,casa para alugar no morumbi,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa SP,Eligible,,,"3,826",707,18.48%,BRL,0.42,293.75,707,8.66%,61.24,0.42,4.80
Enabled,casa para alugar em condomínio fechado sp,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa SP,Eligible,,,"3,357",753,22.43%,BRL,0.30,229.27,753,4.62%,34.79,0.30,6.59
Enabled,condominio fechado interior de sp,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa SP,Eligible,,,"8,281","1,394",16.83%,BRL,0.30,419.89,"1,394",4.61%,64.25,0.30,6.54
Enabled,aluguel de casa com quintal,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa SP,Eligible,,,"12,350","2,121",17.17%,BRL,0.36,763.87,"2,121",10.37%,220.04,0.36,3.47
Enabled,casas para alugar no centro de sao paulo,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa SP,Eligible,,,"5,827","1,031",17.69%,BRL,0.47,481.07,"1,031",17.53%,180.77,0.47,2.66
Enabled,casa em condominio interior de sp,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa SP,Eligible,,,"44,352","10,088",22.75%,BRL,0.26,2596.99,"10,088",5.85%,589.69,0.26,4.40
Enabled,apartamento no butanta,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa SP,Eligible,,,"5,294","1,012",19.12%,BRL,0.46,462.98,"1,012",12.57%,127.21,0.46,3.64
